"","season","player.name","player.position","player.age","player.nationality","from.name","from.country","from.league","to.name","to.country","to.league","transfer.value"
"5331","2019/2020","Bekzat Beysenov","Defensive Midfield","31","Kazakhstan","Taraz","Kazakhstan","Premier Liga","","","","-"
"5332","2019/2020","Ditmar Bicaj","Centre-Back","30","Albania","KF Teuta","Albania","Kategoria Superiore","","","","-"
"5333","2019/2020","Carlos Madeo","Centre-Back","37","Argentina","Camioneros","Argentina","","","","","-"
"5334","2019/2020","Gonzalo Klusener","Centre-Forward","35","Argentina","Agropecuario","Argentina","Primera Nacional","","","","-"
"5335","2019/2020","Matías Castro","Centre-Forward","27","Argentina","AO Xanthi","Greece","Super League","","","","-"
"5336","2019/2020","Patrick Kroll","Centre-Forward","31","Germany","Altglienicke","Germany","Regionalliga Nordost","Altglienicke II","Germany","","-"
"5337","2019/2020","Bondz N'Gala","Centre-Back","29","England","Crawley Town","England","League Two","","","","-"
"5338","2019/2020","Abel Peralta","Right Midfield","29","Argentina","CA Patronato","Argentina","Superliga","","","","-"
"5339","2019/2020","Nicolás Aguirre","Central Midfield","29","Argentina","Granada CF","Spain","LaLiga","","","","-"
"5340","2019/2020","Daniel Adejo","Centre-Back","29","Nigeria","PAS Lamia","Greece","Super League","","","","-"
"5341","2019/2020","Matic Fink","Right-Back","29","Slovenia","Boluspor","Turkey","1.Lig","","","","-"
"5342","2019/2020","Néstor Calderón","Left Winger","30","Mexico","","","","Salamanca CF ","Spain","2ª B - Grupo II","-"
"5343","2019/2020","Amine Linganzi","Central Midfield","29","Congo","Salford","England","League Two","","","","-"
"5344","2019/2020","Alberto Gerbo","Central Midfield","29","Italy","Foggia","Italy","Serie D - H","","","","-"
"5345","2019/2020","Aiman Napoli","Centre-Forward","29","Italy","Lecco","Italy","Serie C - A","","","","-"
"5346","2019/2020","Wilfred Osuji","Defensive Midfield","28","Nigeria","Reggio Audace","Italy","Serie C - B","","","","-"
"5347","2019/2020","Milan Nitriansky","Right-Back","28","Czech Republic","1.FK Pribram","Czech Republic","Fortuna Liga","","","","-"
"5348","2019/2020","Davide Luppi","Centre-Forward","28","Italy","Viterbese","Italy","Serie C - C","","","","-"
"5349","2019/2020","Artem Kychak","Goalkeeper","30","Ukraine","MTK Budapest","Hungary","NB II.","","","","-"
"5350","2019/2020","Simone Salviato","Right-Back","31","Italy","LR Vicenza","Italy","Serie C - B","","","","-"
"5351","2019/2020","Nikolay Markov","Right-Back","34","Russia","Krasnodar","Russia","Premier Liga","Krasnodar 2","Russia","1.Division","-"
"5352","2019/2020","Diego Jara","Centre-Forward","36","Argentina","Central Córdoba","Argentina","Superliga","","","","-"
"5353","2019/2020","Chananan Pombuppha","Left Winger","27","Thailand","Suphanburi FC","Thailand","Thai League","Bangkok Utd.","Thailand","Thai League","?"
"5354","2019/2020","Toufik Zeghdane","Left-Back","26","Algeria","CS Sedan","France","","JS Kabylie","Algeria","Ligue Professionnelle 1","?"
"5355","2019/2020","Kiu","Right Winger","24","Korea, South","NK Istra","Croatia","1.HNL","","","","?"
"5356","2019/2020","Dedé","Defensive Midfield","25","Brazil","Campinense-PB","Brazil","","Vitória-ES","Brazil","","?"
"5357","2019/2020","Bahadir Erol","Left-Back","25","Turkey","Giresunspor","Turkey","1.Lig","Hekimoglu","Turkey","2.Lig Beyaz","?"
"5358","2019/2020","Ernesto Starita","Left Winger","23","Italy","Bisceglie","Italy","Serie D - H","Casertana","Italy","Serie C - C","?"
"5359","2019/2020","Rrezart Hoxha","Centre-Forward","21","Kosovo","FC Wil 1900","Switzerland","Challenge League","SC Kriens","Switzerland","Challenge League","?"
"5360","2019/2020","Aapo Halme","Centre-Back","21","Finland","Leeds","England","Championship","Barnsley FC","England","Championship","?"
"5361","2019/2020","Lalit Thapa","Goalkeeper","34","India","NEROCA FC","India","I-League","Gokulam FC","India","I-League","?"
"5362","2019/2020","Bence Szabó","Attacking Midfield","21","Hungary","Fehérvár","Hungary","NB I.","Diósgyőr","Hungary","NB I.","?"
"5363","2019/2020","Hamad Al Juhaim","Centre-Forward","31","Saudi Arabia","Al-Fateh","Saudi Arabia","Professional League","Al-Feiha","Saudi Arabia","Professional League","?"
"5364","2019/2020","Charlie Goode","Centre-Back","23","England","Scunthorpe Utd.","England","League Two","Northampt. Town","England","League Two","?"
"5365","2019/2020","Ko Sawada","Central Midfield","27","Japan","K. Offenbach","Germany","Regionalliga Südwest","Shonan Bellmare","Japan","J1 League","?"
"5366","2019/2020","Hakim Guenouche","Left-Back","19","France","FC Zürich","Switzerland","Super League","KFC Uerdingen","Germany","3. Liga","?"
"5367","2019/2020","Martin Hongla","Defensive Midfield","21","Cameroon","Recre Granada","Spain","2ª B - Grupo IV","Royal Antwerp","Belgium","Jupiler Pro League","?"
"5368","2019/2020","Bruno Baio","Centre-Forward","23","Brazil","Votuporanguense","Brazil","","Jeonnam Dragons","Korea, South","K League 2","?"
"5369","2019/2020","Mostafa Gaber","Central Midfield","27","Egypt","Harras Hodoud","Egypt","Premier League","O. Alexandria","Egypt","","?"
"5370","2019/2020","Slavomir Pagac","Defender","22","Slovakia","Dubnica","Slovakia","II. Liga","Komarno","Slovakia","II. Liga","?"
"5371","2019/2020","Ibrahim Ajibu","Second Striker","22","Tanzania","Young Africans","Tanzania","","Simba SC","Tanzania","","?"
"5372","2019/2020","Gioele Origlia","Right Midfield","20","Italy","Frosinone U19","Italy","Primavera 2b","Casertana","Italy","Serie C - C","?"
"5373","2019/2020","Kamel Benmessaoud","Defensive Midfield","28","Algeria","JSM Bejaia","Algeria","","CS Constantine","Algeria","Ligue Professionnelle 1","?"
"5374","2019/2020","Rodrigo Miranda","Goalkeeper","21","Brazil","Ponte Preta U20","Brazil","","XV de Jaú","Brazil","","?"
"5375","2019/2020","Shibin Raj Kunniyil","Goalkeeper","26","India","Gokulam FC","India","I-League","Kerala Blasters","India","Indian Super League","?"
"5376","2019/2020","Jurica Valentic","Goalkeeper","26","Croatia","NK Nafta 1903","Slovenia","Druga Liga","St. Martin/Raab","Austria","","?"
"5377","2019/2020","In-pyo Oh","Attacking Midfield","22","Korea, South","Ulsan","Korea, South","K League 1","LASK","Austria","Bundesliga","?"
"5378","2019/2020","Yicheng Wang","Midfielder","21","China","SZ FC","China","Super League","SZ FC Res.","China","","-"
"5379","2019/2020","Tsring Dorji","Midfielder","29","China","","","","LS UCI","China","League Two South","-"
"5380","2019/2020","Sadik Eren Yildirim","Midfielder","19","Turkey","Karagümrük","Turkey","1.Lig","","","","-"
"5381","2019/2020","Luciano Costabile","Central Midfield","20","Italy","Locri","Italy","","","","","-"
"5382","2019/2020","Minjie Wang","Centre-Forward","20","China","BIT","China","League Two North","BIT Res.","China","","-"
"5383","2019/2020","Yeljan Shinar","Defender","20","China","SZ FC Res.","China","","SZ FC","China","Super League","-"
"5384","2019/2020","Shuo Sheng","Midfielder","18","China","JL Baijia","China","League Two North","JL Baijia Res.","China","","-"
"5385","2019/2020","Deok-jung Kim","Forward","23","Korea, South","FC Anyang","Korea, South","K League 2","","","","-"
"5386","2019/2020","Tyrone Mears","Right-Back","36","England","West Brom","England","Championship","","","","-"
"5387","2019/2020","David Vaughan","Defensive Midfield","36","Wales","Notts County","England","National League","","","","-"
"5388","2019/2020","Anestis Anastasiadis","Centre-Back","36","Greece","PAS Lamia","Greece","Super League","","","","-"
"5389","2019/2020","Craig Conway","Left Winger","34","Scotland","Blackburn","England","Championship","","","","-"
"5390","2019/2020","Stéphane Darbion","Left Midfield","35","France","Troyes","France","Ligue 2","","","","-"
"5391","2019/2020","Aleksandr Samedov","Right Winger","34","Russia","KS Samara","Russia","Premier Liga","","","","-"
"5392","2019/2020","Dmitri Torbinski","Central Midfield","35","Russia","Enisey","Russia","1.Division","","","","-"
"5393","2019/2020","Oleg Vlasov","Attacking Midfield","34","Russia","Leningradets","Russia","PFL West","","","","-"
"5394","2019/2020","Zydrunas Karcemarskas","Goalkeeper","36","Lithuania","Osmanlispor","Turkey","1.Lig","","","","-"
"5395","2019/2020","Ibrahim Afellay","Left Midfield","33","Netherlands","","","","PSV Eindhoven","Netherlands","Eredivisie","-"
"5396","2019/2020","Elliott Ward","Centre-Back","34","England","Notts County","England","National League","","","","-"
"5397","2019/2020","Thomas Vermaelen","Centre-Back","33","Belgium","FC Barcelona","Spain","LaLiga","","","","-"
"5398","2019/2020","Tom Soares","Central Midfield","32","England","AFC Wimbledon","England","League One","","","","-"
"5399","2019/2020","Matt Jarvis","Left Winger","33","England","Norwich","England","Premier League","","","","-"
"5400","2019/2020","Dani Alves","Right-Back","36","Brazil","Paris SG","France","Ligue 1","","","","-"
"5401","2019/2020","Richard Duffy","Centre-Back","33","Wales","Notts County","England","National League","","","","-"
"5402","2019/2020","Nicola Pozzi","Centre-Forward","33","Italy","San Donato","Italy","Serie D - E","","","","-"
"5403","2019/2020","Georgios Kantimiris","Goalkeeper","36","Greece","Aris Saloniki","Greece","Super League","","","","-"
"5404","2019/2020","Rafa López","Centre-Back","34","Spain","R. Majadahonda","Spain","2ª B - Grupo I","","","","-"
"5405","2019/2020","Antonis Petropoulos","Centre-Forward","33","Greece","Aspropyrgos","Greece","","","","","-"
"5406","2019/2020","Carlos Cuéllar","Centre-Back","37","Spain","Bnei Yehuda","Israel","Ligat ha'Al","","","","-"
"5407","2019/2020","Ignazio Abate","Right-Back","32","Italy","AC Milan","Italy","Serie A","","","","-"
"5408","2019/2020","Juanfran","Right-Back","34","Spain","Atlético Madrid","Spain","LaLiga","","","","-"
"5409","2019/2020","Alex Baptiste","Right-Back","33","England","QPR","England","Championship","","","","-"
"5410","2019/2020","Charlie Lee","Central Midfield","32","England","Leyton Orient","England","League Two","","","","-"
"5411","2019/2020","Raúl Peñaranda","Centre-Forward","28","Colombia","Árabe Unido","Panama","","Alianza FC","El Salvador","","?"
"5412","2019/2020","Vardan Pogosyan","Left Winger","27","Armenia","Banants","Armenia","Bardsragujn chumb","Alashkert","Armenia","Bardsragujn chumb","?"
"5413","2019/2020","Rafal Sledz","Centre-Forward","21","Poland","Huragan Morag","Poland","3 Liga - Group I","FC Blaubeuren 1995","Germany","","?"
"5414","2019/2020","Daniel González","Left Midfield","28","Argentina","Godoy Cruz","Argentina","Superliga","Dorados de Sin.","Mexico","Ascenso MX Apertura","?"
"5415","2019/2020","Juan Marital","Left Winger","26","Argentina","CA Huracán LH","Argentina","","CA Mitre","Argentina","Primera Nacional","?"
"5416","2019/2020","Alan Depotte","Goalkeeper","26","Argentina","Ferro Pico","Argentina","","Independiente","Argentina","","?"
"5417","2019/2020","David Lischka","Centre-Back","21","Czech Republic","FK Jablonec","Czech Republic","Fortuna Liga","Sparta Praha","Czech Republic","Fortuna Liga","?"
"5418","2019/2020","José Esquivel","Defensive Midfield","21","Mexico","CF Pachuca","Mexico","Liga MX Apertura","FC Juárez","Mexico","Liga MX Apertura","?"
"5419","2019/2020","Sam Schreck","Attacking Midfield","20","Germany","Bay. Leverkusen","Germany","Bundesliga","FC Groningen","Netherlands","Eredivisie","?"
"5420","2019/2020","Tom Glover","Goalkeeper","21","Australia","Tottenham U23","England","","","","","?"
"5421","2019/2020","Freddy Martín","Centre-Forward","32","Mexico","Venados FC","Mexico","Ascenso MX Apertura","Oaxaca","Mexico","Ascenso MX Apertura","?"
"5422","2019/2020","Masih Zahedi","Centre-Back","26","Iran","Machine Sazi","Iran","Persian Gulf Pro League","Tractor Sazi","Iran","Persian Gulf Pro League","?"
"5423","2019/2020","Rachid Abdellah El Moudène","Attacking Midfield","25","Algeria","MC Oran","Algeria","Ligue Professionnelle 1","Paradou AC","Algeria","Ligue Professionnelle 1","?"
"5424","2019/2020","Primo","Centre-Forward","26","Spain","Gimnástica","Spain","","Grindavík","Iceland","Pepsi Max deild","?"
"5425","2019/2020","Orestis Kiomourtzoglou","Central Midfield","21","Germany","Unterhaching","Germany","3. Liga","Heracles Almelo","Netherlands","Eredivisie","?"
"5426","2019/2020","Dário Júnior","Right Winger","27","Brazil","Daegu FC","Korea, South","K League 1","Neftchi Baku","Azerbaijan","Premyer Liqasi","?"
"5427","2019/2020","Paolo Scannapieco","Centre-Back","21","Italy","Pavia","Italy","","Vado","Italy","Serie D - A","?"
"5428","2019/2020","Simone Mazzocchi","Centre-Forward","20","Italy","Atalanta","Italy","Serie A","Südtirol","Italy","Serie C - B","?"
"5429","2019/2020","Amadou Diallo","Left Winger","25","France","Red Star FC","France","Championnat National","Sabah FK","Azerbaijan","Premyer Liqasi","?"
"5430","2019/2020","Brent Gabriël","Goalkeeper","20","Belgium","Club Brugge","Belgium","Jupiler Pro League","Waasl.-Beveren","Belgium","Jupiler Pro League","?"
"5431","2019/2020","Sekou Keita","Centre-Forward","24","Guinea","Stade Laval","France","Championnat National","SO Cholet","France","Championnat National","?"
"5432","2019/2020","Navajo Bakboord","Right-Back","20","Netherlands","Ajax U21","Netherlands","Keuken Kampioen Divisie","Heracles Almelo","Netherlands","Eredivisie","?"
"5433","2019/2020","Luca Germoni","Left-Back","21","Italy","Virtus Entella","Italy","Serie B","Lazio","Italy","Serie A","?"
"5434","2019/2020","Mohamed Toumi","Centre-Forward","24","Algeria","MC Oran","Algeria","Ligue Professionnelle 1","JS Saoura","Algeria","Ligue Professionnelle 1","?"
"5435","2019/2020","Tete Morente","Left Winger","22","Spain","Gimnàstic","Spain","2ª B - Grupo III","CD Lugo","Spain","LaLiga2","?"
"5436","2019/2020","Juan Manuel Sanabria","Central Midfield","19","Uruguay","Atl. Madrid U19","Spain","","Atl. Madrid B","Spain","2ª B - Grupo I","-"
"5437","2019/2020","Moustapha Diatta","Centre-Back","21","France","CE L’Hospitalet","Spain","","","","","-"
"5438","2019/2020","Dmitri Zornikov","Goalkeeper","22","Russia","","","","I. Cherkessk","Russia","PFL South","-"
"5439","2019/2020","Louis Hiepen","Centre-Back","19","Germany","M'gladbach U19","Germany","U19-Bundesliga West","M'gladbach II","Germany","Regionalliga West","-"
"5440","2019/2020","Alper Arslan","Right Midfield","19","Germany","M'gladbach U19","Germany","U19-Bundesliga West","M'gladbach II","Germany","Regionalliga West","-"
"5441","2019/2020","Mykola Bui","Right Midfield","23","Ukraine","Rukh Vynnyky","Ukraine","Persha Liha","","","","-"
"5442","2019/2020","Eric Höh","Goalkeeper","21","Germany","FC 08 Homburg","Germany","Regionalliga Südwest","FC Homburg II","Germany","Saarlandliga","-"
"5443","2019/2020","Rodion Zguri","Centre-Forward","31","Albania","Olymp. Volou","Greece","","","","","-"
"5444","2019/2020","Peru Nolaskoain","Centre-Back","20","Spain","Bilbao Athletic","Spain","2ª B - Grupo II","Athletic","Spain","LaLiga","-"
"5445","2019/2020","Georgi Dzhigkaev","Right-Back","28","Russia","Kolomna","Russia","PFL West","","","","-"
"5446","2019/2020","Arsen Guseynov","Goalkeeper","27","Russia","Kolomna","Russia","PFL West","","","","-"
"5447","2019/2020","Dmitri Sapelnikov","Attacking Midfield","25","Russia","Torpedo Vl.","Russia","PFL West","","","","-"
"5448","2019/2020","Artem Efremov","Goalkeeper","20","Russia","Lada Togliatti","Russia","PFL Ural-Povolzje","","","","-"
"5449","2019/2020","Néstor Franco","Goalkeeper","23","Spain","Coruxo FC","Spain","2ª B - Grupo I","","","","-"
"5450","2019/2020","Colo","Centre-Back","25","Spain","San Fernando CD","Spain","2ª B - Grupo IV","","","","-"
"5451","2019/2020","Marlon Rangel","Right-Back","23","Brazil","Chaves B","Portugal","","Chaves","Portugal","Liga Pro","-"
"5452","2019/2020","Roman Klyukin","Goalkeeper","22","Russia","Akron Togliatti","Russia","PFL Ural-Povolzje","","","","-"
"5453","2019/2020","Paul Wiese","Right-Back","18","Germany","H. Rostock U19","Germany","","Hansa Rostock","Germany","3. Liga","-"
"5454","2019/2020","Kevin Ehlers","Centre-Back","18","Germany","D. Dresden U19","Germany","U19-Bundesliga Nord/Nordost","Dynamo Dresden","Germany","2. Bundesliga","-"
"5455","2019/2020","Niclas Nadj","Attacking Midfield","18","Germany","St. Pauli U19","Germany","U19-Bundesliga Nord/Nordost","FC St. Pauli II","Germany","Regionalliga Nord","-"
"5456","2019/2020","Tim van de Berg","Defensive Midfield","21","Netherlands","Heracles Almelo","Netherlands","Eredivisie","","","","-"
"5457","2019/2020","Yan Shanin","Centre-Forward","26","Russia","FK Ryazan","Russia","PFL Central","","","","-"
"5458","2019/2020","Petr Sitnikov","Left Midfield","32","Russia","Chaika Pes.","Russia","1.Division","","","","-"
"5459","2019/2020","Guillermo García","Goalkeeper","22","Spain","CD Mirandés","Spain","LaLiga2","","","","-"
"5460","2019/2020","Yongfeng Liang","Left-Back","22","China","GZ R&F","China","Super League","R&F Reserves","China","","-"
"5461","2019/2020","Mohammed Ali Shakir","Defender","22","United Arab Emirates","Ajman Club","United Arab Emirates","UAE Gulf League","Al-Ain FC","United Arab Emirates","UAE Gulf League","?"
"5462","2019/2020","Vlad Motroc","Centre-Back","20","Romania","Dinamo Bukarest U19","Romania","","SCM FC Arges","Romania","Liga 2","?"
"5463","2019/2020","Franco Ledesma","Defender","26","Argentina","CA Mitre","Argentina","Primera Nacional","Ind. Rivadavia","Argentina","Primera Nacional","?"
"5464","2019/2020","Amirhossein Jeddi","Right-Back","20","Iran","Paykan","Iran","Persian Gulf Pro League","Aluminium Arak","Iran","Azadegan League","?"
"5465","2019/2020","Amirhossein Pourmohammad","Left-Back","21","Iran","Esteghlal FC U21","Iran","","Machine Sazi","Iran","Persian Gulf Pro League","?"
"5466","2019/2020","Mohamed Bouchouari","Right-Back","18","Belgium","Anderlecht Res.","Belgium","","F91 Dudelange","Luxembourg","BGL Ligue","?"
"5467","2019/2020","Alexander Mojzis","Left-Back","20","Slovakia","Podbrezova","Slovakia","II. Liga","Ruzomberok","Slovakia","Fortuna Liga","?"
"5468","2019/2020","Ministro","Attacking Midfield","26","Portugal","Mafra","Portugal","Liga Pro","Lus. Lourosa","Portugal","","?"
"5469","2019/2020","Edson García","Centre-Back","21","Mexico","Atlas","Mexico","Liga MX Apertura","Tampico Madero","Mexico","Ascenso MX Apertura","?"
"5470","2019/2020","Gabrijel Popovic","Left-Back","19","Bosnia-Herzegovina","NK Metalleghe ","Bosnia-Herzegovina","Prva liga FBIH","","","","?"
"5471","2019/2020","Tirso Trueba","Goalkeeper","23","Mexico","Puebla FC","Mexico","Liga MX Apertura","","","","?"
"5472","2019/2020","Pablo Gómez","Left Winger","21","Argentina","Puebla FC","Mexico","Liga MX Apertura","Cimarrones","Mexico","Ascenso MX Apertura","?"
"5473","2019/2020","Vladyslav Savin","Centre-Back","21","Ukraine","FK Mariupol II","Ukraine","","Avanhard K.","Ukraine","Persha Liha","?"
"5474","2019/2020","Jesús Vázquez","Centre-Back","24","United States","Cancún","Mexico","","Atlante","Mexico","Ascenso MX Apertura","?"
"5475","2019/2020","Vadym Yanchak","Right Midfield","20","Ukraine","Lok. Kosice","Slovakia","","","","","?"
"5476","2019/2020","Jakub Svec","Left Winger","18","Slovakia","Zlate Moravce","Slovakia","Fortuna Liga","Dunajska Streda","Slovakia","Fortuna Liga","?"
"5477","2019/2020","Seok-hyeon Kim","Centre-Back","30","Korea, South","Gangneung City","Korea, South","Korea National League","","","","?"
"5478","2019/2020","José Chávez","Forward","22","Mexico","Morelia","Mexico","Liga MX Apertura","","","","?"
"5479","2019/2020","Lukasz Seweryn","Right-Back","17","Poland","Stadion Slaski Chorzow","Poland","","Stal Mielec","Poland","1 Liga","?"
"5480","2019/2020","Bongani Sam","Left-Back","21","South Africa","Bloemfontein","South Africa","ABSA Premiership","Orlando Pirates","South Africa","ABSA Premiership","?"
"5481","2019/2020","Lorenzo Sabattini","Central Midfield","17","Italy","Vis Pesaro","Italy","Serie C - B","Sampdoria U19","Italy","Primavera 1","?"
"5482","2019/2020","Marwan Hamdi","Centre-Forward","22","Egypt","El Makasa","Egypt","Premier League","Wadi Degla ","Egypt","Premier League","?"
"5483","2019/2020","Dimitrije Markicevic","Centre-Forward","20","Serbia","Sloboda Uzice","Serbia","","","","","?"
"5484","2019/2020","Andrés Ramírez","Centre-Back","23","Mexico","Chivas","Mexico","Liga MX Apertura","Leones Negros","Mexico","Ascenso MX Apertura","?"
"5485","2019/2020","Brian Alférez","Centre-Back","21","Argentina","Godoy Cruz","Argentina","Superliga","GyE Mendoza","Argentina","Primera Nacional","?"
"5486","2019/2020","Lefteris Choutesiotis","Goalkeeper","24","Greece","Olympiacos","Greece","Super League","","","","-"
"5487","2019/2020","Axel Kacou","Goalkeeper","23","Cote d'Ivoire","","","","Sport-Club Lyon","France","Championnat National","-"
"5488","2019/2020","Louis Nganioni","Left-Back","24","France","Levski Sofia","Bulgaria","Parva Liga","","","","-"
"5489","2019/2020","Agustín Vuletich","Centre-Forward","27","Argentina","Salernitana","Italy","Serie B","","","","-"
"5490","2019/2020","Nika Chkhapelia","Left Winger","25","Russia","Dinamo Bryansk","Russia","PFL Central","","","","-"
"5491","2019/2020","Dzambolat Khastsaev","Centre-Forward","24","Russia","Spartak V.","Russia","PFL South","","","","-"
"5492","2019/2020","Tommie Hoban","Centre-Back","25","Ireland","Watford","England","Premier League","","","","-"
"5493","2019/2020","Kwame Thomas","Centre-Forward","23","England","Solihull Moors","England","National League","","","","-"
"5494","2019/2020","Leonard Kiener","Goalkeeper","24","Switzerland","FC Breitenrain","Switzerland","Promotion League","","","","-"
"5495","2019/2020","Shpetim Sulejmani","Centre-Forward","24","Switzerland","SpVgg Bayreuth","Germany","Regionalliga Bayern","","","","-"
"5496","2019/2020","Issa Cissokho","Right-Back","34","Senegal","M. Petah Tikva","Israel","Liga Leumit","","","","-"
"5497","2019/2020","Yurii Tsapii","Left-Back","32","Ukraine","MFK Mykolaiv","Ukraine","Persha Liha","","","","-"
"5498","2019/2020","Guido Gomez","Centre-Forward","25","Italy","Renate","Italy","Serie C - A","","","","-"
"5499","2019/2020","Minel Sabotic","Centre-Back","25","Montenegro","UC AlbinoLeffe","Italy","Serie C - A","","","","-"
"5500","2019/2020","Leutrim Mulgeci","Midfielder","28","Albania","","","","SV 1910 Neuhof","Germany","Hessenliga","-"
"5501","2019/2020","Ebo Andoh","Left Midfield","26","Ghana","Macclesfield","England","League Two","","","","-"
"5502","2019/2020","Uche Nwofor","Centre-Forward","27","Nigeria","JS Kabylie","Algeria","Ligue Professionnelle 1","","","","-"
"5503","2019/2020","Saihou Gassama","Right Winger","25","The Gambia","SD Tarazona","Spain","","","","","-"
"5504","2019/2020","Serdar Deniz","Attacking Midfield","29","Turkey","Silivrispor","Turkey","3.Lig Grup 1","","","","-"
"5505","2019/2020","Andrei Ciolacu","Centre-Forward","26","Romania","Tskhinvali","Georgia","","","","","-"
"5506","2019/2020","Stephen Hendrie","Left-Back","24","Scotland","Southend United","England","League One","","","","-"
"5507","2019/2020","Danzell Gravenberch","Centre-Back","25","Netherlands","Reading","England","Championship","","","","-"
"5508","2019/2020","Erivelton","Centre-Forward","23","Belgium","Heur Tongeren","Belgium","","","","","-"
"5509","2019/2020","Rory McKeown","Left-Back","26","Northern Ireland","Morton","Scotland","Championship","","","","-"
"5510","2019/2020","Miles Storey","Centre-Forward","25","England","Partick Thistle","Scotland","Championship","","","","-"
"5511","2019/2020","Okacha Hamzaoui","Centre-Forward","28","Algeria","Nacional","Portugal","Liga Pro","","","","-"
"5512","2019/2020","Alexandros Bitsakos","Centre-Back","27","Greece","Panachaiki","Greece","","","","","-"
"5513","2019/2020","Fabricio Lenci","Centre-Forward","35","Argentina","Los Andes","Argentina","","","","","-"
"5514","2019/2020","Mark Hurst","Goalkeeper","23","Scotland","St. Johnstone","Scotland","Premiership","","","","-"
"5515","2019/2020","Darren Lyon","Central Midfield","24","Scotland","Peterborough","England","League One","","","","-"
"5516","2019/2020","Rodrigo Vargas","Centre-Forward","24","Bolivia","","","","Royal Pari ","Bolivia","","-"
"5517","2019/2020","Rai Marchán","Central Midfield","25","Spain","Celta Vigo B","Spain","2ª B - Grupo I","","","","-"
"5518","2019/2020","Ludwig Räuber","Attacking Midfield","24","Germany","1860 Rosenheim","Germany","Regionalliga Bayern","","","","-"
"5519","2019/2020","Aziz Elqinani","Goalkeeper","40","Morocco","Difaâ El Jadida","Morocco","Botola Pro","","","","-"
"5520","2019/2020","Jacques Alberto Ngwem","Defensive Midfield","26","Cameroon","Volos NPS","Greece","Super League","","","","-"
"5521","2019/2020","Mattia Altobelli","Centre-Back","24","Italy","Teramo","Italy","Serie C - C","","","","-"
"5522","2019/2020","Danilo Bulevardi","Central Midfield","24","Italy","Siena","Italy","Serie C - A","","","","-"
"5523","2019/2020","Thallyson","Left-Back","27","Brazil","Sint-Truiden","Belgium","Jupiler Pro League","","","","-"
"5524","2019/2020","Dino Hodzic","Goalkeeper","23","Croatia","Mezőkövesd","Hungary","NB I.","","","","-"
"5525","2019/2020","Ozan Tufan","Central Midfield","24","Turkey","Fenerbahce U21","Turkey","","Fenerbahce","Turkey","Süper Lig","-"
"5526","2019/2020","Chrysovalantis Kozoronis","Defensive Midfield","26","Greece","Petr. Ploiesti","Romania","Liga 2","","","","-"
"5527","2019/2020","Dusan Babic","Right-Back","25","Serbia","Zvijezda 09","Bosnia-Herzegovina","Premijer Liga","","","","-"
"5528","2019/2020","Miguel Oliveira","Goalkeeper","25","Portugal","Vit. Guimarães","Portugal","Liga NOS","Guimarães B","Portugal","","-"
"5529","2019/2020","Zani Kurti","Defensive Midfield","25","Greece","KF Skënderbeu","Albania","Kategoria Superiore","","","","-"
"5530","2019/2020","Konrad Kaczmarek","Centre-Forward","28","Poland","Chrobry Glogow","Poland","1 Liga","","","","-"
"5531","2019/2020","Valentino Pugliese","Central Midfield","21","Switzerland","FC Schaffhausen","Switzerland","Challenge League","","","","-"
"5532","2019/2020","Luis Castillo","Right-Back","28","Argentina","GyE Mendoza","Argentina","Primera Nacional","","","","-"
"5533","2019/2020","Muamer Adzem","Centre-Back","26","Bosnia-Herzegovina","Sloboda Tuzla","Bosnia-Herzegovina","Premijer Liga","","","","-"
"5534","2019/2020","Pablo Mattos","Defensive Midfield","29","Argentina","Sacachispas","Argentina","","","","","-"
"5535","2019/2020","Hayrullah Akyüz","Goalkeeper","25","Turkey","Adanaspor","Turkey","1.Lig","","","","-"
"5536","2019/2020","Rodri","Defensive Midfield","23","Spain","Atlético Madrid","Spain","LaLiga","Man City","England","Premier League","£63.00m"
"5537","2019/2020","Ayoze Pérez","Second Striker","25","Spain","Newcastle","England","Premier League","Leicester","England","Premier League","£30.06m"
"5538","2019/2020","Douglas Santos","Left-Back","25","Brazil","Hamburger SV","Germany","2. Bundesliga","Zenit S-Pb","Russia","Premier Liga","£10.80m"
"5539","2019/2020","Denis Vavro","Centre-Back","23","Slovakia","FC Copenhagen","Denmark","Superligaen","Lazio","Italy","Serie A","£9.45m"
"5540","2019/2020","Rubén Peña","Right-Back","27","Spain","SD Eibar","Spain","LaLiga","Villarreal","Spain","LaLiga","£7.20m"
"5541","2019/2020","Michel Vlap","Attacking Midfield","22","Netherlands","Heerenveen","Netherlands","Eredivisie","RSC Anderlecht","Belgium","Jupiler Pro League","£7.20m"
"5542","2019/2020","Raúl Albiol","Centre-Back","33","Spain","SSC Napoli","Italy","Serie A","Villarreal","Spain","LaLiga","£4.50m"
"5543","2019/2020","Nicolae Stanciu","Attacking Midfield","26","Romania","Ahli","Saudi Arabia","Professional League","Slavia Prag","Czech Republic","Fortuna Liga","£3.60m"
"5544","2019/2020","David Ospina","Goalkeeper","30","Colombia","Arsenal","England","Premier League","SSC Napoli","Italy","Serie A","£3.15m"
"5545","2019/2020","Boli Bolingoli","Left-Back","24","Belgium","Rapid Vienna","Austria","Bundesliga","Celtic","Scotland","Premiership","£3.01m"
